Current Attendence Sheet Data of SOC12513  |  All Type


-,2019-08-01-13:00:00-Lect-1H-ng,2019-08-06-10:00:00-Lect-2H-ng,2019-08-08-13:00:00-Lect-1H-ng,2019-08-13-10:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-1H-ng,2019-12-10-10:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-1H-ng,2019-12-17-10:00:00-Lect-2H-ng,2019-12-19-13:00:00-Lect-1H-ng,2019-12-24-10:00:00-Lect-2H-ng,2019-12-31-10:00:00-Lect-2H-ng,2020-01-02-13:00:00-Lect-1H-ng,2020-01-08-10:00:00-Lect-2H-ng,2020-01-14-10:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-1H-ng,2020-01-21-10:00:00-Lect-2H-ng,2020-01-28-10:00:00-Lect-2H-ng,2020-01-30-13:00:00-Lect-1H-ng,2020-02-06-10:00:00-Lect-2H-ng,2020-02-11-09:00:00-Lect-1H-ng,2020-02-18-10:00:00-Lect-2H-ng,%
HS/2018/16886,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,82 %,
HS/2018/16887,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16888,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,88 %,
HS/2018/16889,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16890,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16891,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16893,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,82 %,
HS/2018/16894,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16896,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16898,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16899,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,91 %,
HS/2018/16902,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16904,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16905,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,85 %,
